% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
27	1	1	1	0	0	0	81	0	1	1
42	1	1	1	0	0	28	2196	0	1	1
43	1	1	1	0	0	28	2196	0	1	1
53	1	1	1	0	0	28	2196	0	1	1
55	1	1	1	0	0	28	2196	0	1	1
63	1	1	1	0	0	28	2196	0	1	1
73	1	1	1	0	0	28	2196	0	1	1
83	1	1	1	0	0	28	2196	0	1	1
93	1	1	1	0	0	28	2196	0	1	1
103	1	1	1	0	0	28	2196	0	1	1
113	1	1	1	0	0	28	2196	0	1	1
123	1	1	1	0	0	28	2196	0	1	1
133	1	1	1	0	0	28	2196	0	1	1
143	1	1	1	0	0	28	2196	0	1	1
153	1	1	1	0	0	28	2196	0	1	1
163	1	1	1	0	0	28	2196	0	1	1
173	1	1	1	0	0	28	2196	0	1	1
183	1	1	1	0	0	28	2196	0	1	1
193	1	1	1	0	0	28	2196	0	1	1
203	1	1	1	0	0	28	2196	0	1	1
213	1	1	1	0	0	28	2196	0	1	1
215	1	1	1	0	0	28	2196	0	1	1
223	1	1	1	0	0	28	2196	0	1	1
233	1	1	1	0	0	28	2196	0	1	1
243	1	1	1	0	0	28	2196	0	1	1
253	1	1	1	0	0	28	2196	0	1	1
263	1	1	1	0	0	28	2196	0	1	1
273	1	1	1	0	0	28	2196	0	1	1
283	1	1	1	0	0	28	2196	0	1	1
293	1	1	1	0	0	28	2196	0	1	1
303	1	1	1	0	0	28	2196	0	1	1
313	1	1	1	0	0	28	2196	0	1	1
323	1	1	1	0	0	28	2196	0	1	1
333	1	1	1	0	0	28	2196	0	1	1
343	1	1	1	0	0	28	2196	0	1	1
353	1	1	1	0	0	28	2196	0	1	1
363	1	1	1	0	0	28	2196	0	1	1
373	1	1	1	0	0	28	2196	0	1	1
383	1	1	1	0	0	28	2196	0	1	1
393	1	1	1	0	0	28	2196	0	1	1
403	1	1	1	0	0	28	2196	0	1	1
413	1	1	1	0	0	28	2196	0	1	1
423	1	1	1	0	0	28	2196	0	1	1
433	1	1	1	0	0	28	2196	0	1	1
443	1	1	1	0	0	28	2196	0	1	1
453	1	1	1	0	0	28	2196	0	1	1
463	1	1	1	0	0	28	2196	0	1	1
473	1	1	1	0	0	28	2196	0	1	1
483	1	1	1	0	0	28	2196	0	1	1
493	1	1	1	0	0	28	2196	0	1	1
503	1	1	1	0	0	28	2196	0	1	1
513	1	1	1	0	0	28	2196	0	1	1
523	1	1	1	0	0	28	2196	0	1	1
533	1	1	1	0	0	28	2196	0	1	1
543	1	1	1	0	0	28	2196	0	1	1
553	1	1	1	0	0	28	2196	0	1	1
563	1	1	1	0	0	28	2196	0	1	1
573	1	1	1	0	0	28	2196	0	1	1
583	1	1	1	0	0	28	2196	0	1	1
593	1	1	1	0	0	28	2196	0	1	1
603	1	1	1	0	0	28	2196	0	1	1
613	1	1	1	0	0	28	2196	0	1	1
623	1	1	1	0	0	28	2196	0	1	1
633	1	1	1	0	0	28	2196	0	1	1
643	1	1	1	0	0	28	2196	0	1	1
653	1	1	1	0	0	28	2196	0	1	1
663	1	1	1	0	0	28	2196	0	1	1
673	1	1	1	0	0	28	2196	0	1	1
683	1	1	1	0	0	28	2196	0	1	1
693	1	1	1	0	0	28	2196	0	1	1
695	1	1	1	0	0	28	2196	0	1	1
703	1	1	1	0	0	28	2196	0	1	1
713	1	1	1	0	0	28	2196	0	1	1
723	1	1	1	0	0	28	2196	0	1	1
733	1	1	1	0	0	28	2196	0	1	1
743	1	1	1	0	0	28	2196	0	1	1
753	1	1	1	0	0	28	2196	0	1	1
763	1	1	1	0	0	28	2196	0	1	1
773	1	1	1	0	0	28	2196	0	1	1
783	1	1	1	0	0	28	2196	0	1	1
793	1	1	1	0	0	28	2196	0	1	1
803	1	1	1	0	0	28	2196	0	1	1
813	1	1	1	0	0	28	2196	0	1	1
823	1	1	1	0	0	28	2196	0	1	1
833	1	1	1	0	0	28	2196	0	1	1
843	1	1	1	0	0	28	2196	0	1	1
853	1	1	1	0	0	28	2196	0	1	1
863	1	1	1	0	0	28	2196	0	1	1
873	1	1	1	0	0	28	2196	0	1	1
883	1	1	1	0	0	28	2196	0	1	1
893	1	1	1	0	0	28	2196	0	1	1
903	1	1	1	0	0	28	2196	0	1	1
913	1	1	1	0	0	28	2196	0	1	1
923	1	1	1	0	0	28	2196	0	1	1
933	1	1	1	0	0	28	2196	0	1	1
943	1	1	1	0	0	28	2196	0	1	1
953	1	1	1	0	0	28	2196	0	1	1
963	1	1	1	0	0	28	2196	0	1	1
973	1	1	1	0	0	28	2196	0	1	1
983	1	1	1	0	0	28	2196	0	1	1
993	1	1	1	0	0	28	2196	0	1	1
