% time	cellId	IMSI	RNTI	rsrp	sinr
0.000214285	1	1	0	1.68845e-08	3.55957e+07
0.00121429	1	1	0	1.69021e-08	3.56327e+07
0.00221428	1	1	0	1.69196e-08	3.56698e+07
0.00321428	1	1	0	1.69373e-08	3.57069e+07
0.00421428	1	1	0	1.69549e-08	3.5744e+07
0.00521428	1	1	0	1.69725e-08	3.57813e+07
0.00621428	1	1	0	1.69902e-08	3.58186e+07
0.00721428	1	1	0	1.7008e-08	3.58559e+07
0.00821428	1	1	0	1.70257e-08	3.58933e+07
0.00921428	1	1	0	1.70435e-08	3.59308e+07
0.0102143	1	1	0	1.70613e-08	3.59683e+07
0.0112143	1	1	0	1.70791e-08	3.60059e+07
0.0122143	1	1	0	1.70969e-08	3.60435e+07
0.0132143	1	1	0	1.71148e-08	3.60812e+07
0.0142143	1	1	0	1.71327e-08	3.6119e+07
0.0152143	1	1	0	1.71507e-08	3.61568e+07
0.0162143	1	1	0	1.71686e-08	3.61946e+07
0.0172143	1	1	0	1.71866e-08	3.62326e+07
0.0182143	1	1	0	1.72046e-08	3.62705e+07
0.0192143	1	1	0	1.72227e-08	3.63086e+07
0.0202143	1	1	0	1.72408e-08	3.63467e+07
0.0212143	1	1	1	1.72589e-08	3.63849e+07
0.0222143	1	1	1	1.7277e-08	3.64231e+07
0.0232143	1	1	1	1.72951e-08	3.64614e+07
0.0242143	1	1	1	1.73133e-08	3.64997e+07
0.0252143	1	1	1	1.73316e-08	3.65381e+07
0.0262143	1	1	1	1.73498e-08	3.65766e+07
0.0272143	1	1	1	1.73681e-08	3.66151e+07
0.0282143	1	1	1	1.73864e-08	3.66537e+07
0.0292143	1	1	1	1.74047e-08	3.66923e+07
0.0302143	1	1	1	1.74231e-08	3.6731e+07
0.0312143	1	1	1	1.74414e-08	3.67698e+07
0.0322143	1	1	1	1.74599e-08	3.68086e+07
0.0332143	1	1	1	1.74783e-08	3.68475e+07
0.0342143	1	1	1	1.74968e-08	3.68864e+07
0.0352143	1	1	1	1.75153e-08	3.69255e+07
0.0362143	1	1	1	1.75338e-08	3.69645e+07
0.0372143	1	1	1	1.75524e-08	3.70036e+07
0.0382143	1	1	1	1.7571e-08	3.70428e+07
0.0392143	1	1	1	1.75896e-08	3.70821e+07
0.0402143	1	1	1	1.76082e-08	3.71214e+07
0.0412143	1	1	1	1.76269e-08	3.71608e+07
0.0422143	1	1	1	1.76456e-08	3.72002e+07
0.0432143	1	1	1	1.76643e-08	3.72397e+07
0.0442143	1	1	1	1.76831e-08	3.72793e+07
0.0452143	1	1	1	1.77019e-08	3.73189e+07
0.0462143	1	1	1	1.77207e-08	3.73586e+07
0.0472143	1	1	1	1.77396e-08	3.73983e+07
0.0482143	1	1	1	1.77585e-08	3.74381e+07
0.0492143	1	1	1	1.77774e-08	3.7478e+07
0.0502143	1	1	1	1.77963e-08	3.75179e+07
0.0512143	1	1	1	1.78153e-08	3.75579e+07
0.0522143	1	1	1	1.78343e-08	3.7598e+07
0.0532143	1	1	1	1.78533e-08	3.76381e+07
0.0542143	1	1	1	1.78724e-08	3.76783e+07
0.0552143	1	1	1	1.78915e-08	3.77186e+07
0.0562143	1	1	1	1.79106e-08	3.77589e+07
0.0572143	1	1	1	1.79298e-08	3.77993e+07
0.0582143	1	1	1	1.7949e-08	3.78397e+07
0.0592143	1	1	1	1.79682e-08	3.78802e+07
0.0602143	1	1	1	1.79874e-08	3.79208e+07
0.0612143	1	1	1	1.80067e-08	3.79614e+07
0.0622143	1	1	1	1.8026e-08	3.80021e+07
0.0632143	1	1	1	1.80453e-08	3.80429e+07
0.0642143	1	1	1	1.80647e-08	3.80837e+07
0.0652143	1	1	1	1.80841e-08	3.81246e+07
0.0662143	1	1	1	1.81035e-08	3.81656e+07
0.0672143	1	1	1	1.8123e-08	3.82066e+07
0.0682143	1	1	1	1.81425e-08	3.82477e+07
0.0692143	1	1	1	1.8162e-08	3.82889e+07
0.0702143	1	1	1	1.81815e-08	3.83301e+07
0.0712143	1	1	1	1.82011e-08	3.83714e+07
0.0722143	1	1	1	1.82207e-08	3.84127e+07
0.0732143	1	1	1	1.82404e-08	3.84541e+07
0.0742143	1	1	1	1.82601e-08	3.84956e+07
0.0752143	1	1	1	1.82798e-08	3.85372e+07
0.0762143	1	1	1	1.82995e-08	3.85788e+07
0.0772143	1	1	1	1.83193e-08	3.86205e+07
0.0782143	1	1	1	1.83391e-08	3.86622e+07
0.0792143	1	1	1	1.83589e-08	3.8704e+07
0.0802143	1	1	1	1.83788e-08	3.87459e+07
0.0812143	1	1	1	1.83987e-08	3.87879e+07
0.0822143	1	1	1	1.84186e-08	3.88299e+07
0.0832143	1	1	1	1.84386e-08	3.8872e+07
0.0842143	1	1	1	1.84586e-08	3.89141e+07
0.0852143	1	1	1	1.84786e-08	3.89563e+07
0.0862143	1	1	1	1.84987e-08	3.89986e+07
0.0872143	1	1	1	1.85188e-08	3.9041e+07
0.0882143	1	1	1	1.85389e-08	3.90834e+07
0.0892143	1	1	1	1.8559e-08	3.91259e+07
0.0902143	1	1	1	1.85792e-08	3.91685e+07
0.0912143	1	1	1	1.85995e-08	3.92111e+07
0.0922143	1	1	1	1.86197e-08	3.92538e+07
0.0932143	1	1	1	1.864e-08	3.92966e+07
0.0942143	1	1	1	1.86603e-08	3.93394e+07
0.0952143	1	1	1	1.86807e-08	3.93823e+07
0.0962143	1	1	1	1.87011e-08	3.94253e+07
0.0972143	1	1	1	1.87215e-08	3.94683e+07
0.0982143	1	1	1	1.87419e-08	3.95114e+07
0.0992143	1	1	1	1.87624e-08	3.95546e+07
0.100214	1	1	1	1.87829e-08	3.95979e+07
0.101214	1	1	1	1.88035e-08	3.96412e+07
0.102214	1	1	1	1.88241e-08	3.96846e+07
0.103214	1	1	1	1.88447e-08	3.97281e+07
0.104214	1	1	1	1.88653e-08	3.97716e+07
0.105214	1	1	1	1.8886e-08	3.98152e+07
0.106214	1	1	1	1.89067e-08	3.98589e+07
0.107214	1	1	1	1.89275e-08	3.99026e+07
0.108214	1	1	1	1.89483e-08	3.99464e+07
0.109214	1	1	1	1.89691e-08	3.99903e+07
0.110214	1	1	1	1.89899e-08	4.00343e+07
0.111214	1	1	1	1.90108e-08	4.00783e+07
0.112214	1	1	1	1.90317e-08	4.01224e+07
0.113214	1	1	1	1.90527e-08	4.01666e+07
0.114214	1	1	1	1.90737e-08	4.02108e+07
0.115214	1	1	1	1.90947e-08	4.02551e+07
0.116214	1	1	1	1.91157e-08	4.02995e+07
0.117214	1	1	1	1.91368e-08	4.0344e+07
0.118214	1	1	1	1.9158e-08	4.03885e+07
0.119214	1	1	1	1.91791e-08	4.04331e+07
0.120214	1	1	1	1.92003e-08	4.04778e+07
0.121214	1	1	1	1.92215e-08	4.05226e+07
0.122214	1	1	1	1.92428e-08	4.05674e+07
0.123214	1	1	1	1.92641e-08	4.06123e+07
0.124214	1	1	1	1.92854e-08	4.06573e+07
0.125214	1	1	1	1.93068e-08	4.07023e+07
0.126214	1	1	1	1.93282e-08	4.07474e+07
0.127214	1	1	1	1.93496e-08	4.07926e+07
0.128214	1	1	1	1.93711e-08	4.08379e+07
0.129214	1	1	1	1.93926e-08	4.08833e+07
0.130214	1	1	1	1.94142e-08	4.09287e+07
0.131214	1	1	1	1.94358e-08	4.09742e+07
0.132214	1	1	1	1.94574e-08	4.10197e+07
